name,movie,movieYear,sport,actor,archetype,bio,quote,athleticism,clutch,leadership,heart,skill,intimidation,teamwork,charisma,curated
Jimmy Chitwood,Hoosiers,1986,Basketball,Maris Valainis,underdog,"The quiet star player who refused to play until his town rallied behind their coach.","I'll make it.",,,,,,,,,false
Benny "The Jet" Rodriguez,The Sandlot,1993,Baseball,Mike Vitar,underdog,"The best ballplayer in the neighborhood who outran a legendary junkyard dog.","Heroes get remembered, but legends never die.",,,,,,,,,false
Paul Crewe,The Longest Yard,2005,Football,Adam Sandler,underdog,"Disgraced former NFL quarterback who assembled a team of convicts to take on the guards.","It's not whether you win or lose, it's whether you win!",,,,,,,,,false
Roy McAvoy,Tin Cup,1996,Golf,Kevin Costner,underdog,"Driving range pro who qualified for the U.S. Open on sheer stubbornness and talent.","When a defining moment comes along, you define the moment... or the moment defines you.",,,,,,,,,false
Crash Davis,Bull Durham,1988,Baseball,Kevin Costner,veteran,"Career minor leaguer brought in to mentor a wild young pitcher with a million-dollar arm.","I believe in the soul, the small of a woman's back, the hanging curveball.",,,,,,,,,false
Jake Taylor,Major League,1989,Baseball,Tom Berenger,veteran,"Aging catcher with bad knees brought back for one last shot at the pennant.","In case you haven't noticed, and judging by the attendance you haven't, the Indians have managed to win a few games.",,,,,,,,,false
Mr. Miyagi,The Karate Kid,1984,Martial Arts,Pat Morita,veteran,"Humble maintenance man and karate master who taught a boy to fight -- and to live.","Wax on, wax off.",58,80,90,88,95,72,85,88,true
Billy Beane,Moneyball,2011,Baseball,Brad Pitt,veteran,"Oakland A's GM who revolutionized baseball by using statistics to build a winning team on a budget.","How can you not be romantic about baseball?",,,,,,,,,false
Ray Kinsella,Field of Dreams,1989,Baseball,Kevin Costner,veteran,"Iowa farmer who heard a voice and built a baseball diamond in his cornfield.","If you build it, he will come.",,,,,,,,,false
Reggie Dunlop,Slap Shot,1977,Hockey,Paul Newman,veteran,"Aging player-coach of a failing minor league hockey team who turns them into brawling entertainers.","I'm putting on the old foil tonight.",,,,,,,,,false
Patches O'Houlihan,Dodgeball,2004,Dodgeball,Rip Torn,veteran,"Legendary dodgeball champion turned wheelchair-bound coach with unorthodox training methods.","If you can dodge a wrench, you can dodge a ball.",,,,,,,,,false
Chubbs Peterson,Happy Gilmore,1996,Golf,Carl Weathers,veteran,"Former golf pro whose career was cut short by an alligator, now mentoring Happy.","It's all in the hips.",,,,,,,,,false
Ivan Drago,Rocky IV,1985,Boxing,Dolph Lundgren,villain,"Soviet super-soldier engineered to be the perfect fighting machine.","I must break you.",99,75,35,40,82,99,25,78,true
Shooter McGavin,Happy Gilmore,1996,Golf,Christopher McDonald,villain,"Arrogant, slimy golf pro who will do anything to win the tour championship.","I eat pieces of s*** like you for breakfast.",65,72,40,35,88,75,20,90,true
Clubber Lang,Rocky III,1982,Boxing,Mr. T,villain,"Brutal, hungry challenger who demolished Rocky and exposed his comfortable lifestyle.","I pity the fool!",,,,,,,,,false
White Goodman,Dodgeball,2004,Dodgeball,Ben Stiller,villain,"Narcissistic fitness guru who wants to crush the competition -- and a small gym -- with his corporate machine.","Nobody makes me bleed my own blood. Nobody!",,,,,,,,,false
Judge Smails,Caddyshack,1980,Golf,Ted Knight,villain,"Pompous country club judge who embodies everything wrong with elitist golf culture.","Well, the world needs ditch diggers, too.",,,,,,,,,false
Johnny Lawrence,The Karate Kid,1984,Martial Arts,William Zabka,villain,"Cobra Kai golden boy trained to show no mercy on or off the mat.","Get him a body bag!",,,,,,,,,false
Rachel Phelps,Major League,1989,Baseball,Margaret Whitton,villain,"Team owner who assembled the worst possible roster hoping the Indians would lose enough to relocate.","This is only the beginning.",,,,,,,,,false
Jean Girard,Talladega Nights,2006,Racing,Sacha Baron Cohen,villain,"French Formula One champion who came to NASCAR to prove his superiority.","I am the best there is, plain and simple.",,,,,,,,,false
Julius Campbell,Remember the Titans,2000,Football,Wood Harris,teammate,"Star linebacker who broke down racial barriers by embracing his teammates as brothers.","I'm Julius.",,,,,,,,,false
Gerry Bertier,Remember the Titans,2000,Football,Ryan Hurst,teammate,"Team captain who overcame his own prejudice and became the heart of a united team.","I don't wear his number for me; I wear it for my brother.",,,,,,,,,false
Charlie Conway,The Mighty Ducks,1992,Hockey,Joshua Jackson,teammate,"Heart-and-soul center of the Ducks who kept the team together when it mattered most.","Quack... quack... quack.",,,,,,,,,false
Pedro Cerrano,Major League,1989,Baseball,Dennis Haysbert,teammate,"Cuban slugger who could crush fastballs but needed spiritual help with curveballs.","I am pissed off now, Jobu.",,,,,,,,,false
Timo Cruz,Coach Carter,2005,Basketball,Rick Gonzalez,teammate,"Street-hardened player who transformed from team cancer to its emotional backbone.","Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure.",,,,,,,,,false
Mike Eruzione,Miracle,2004,Hockey,Patrick O'Brien Demsey,teammate,"Team captain of the 1980 U.S. Olympic hockey team who scored the game-winning goal against the Soviets.","I play for the United States of America!",,,,,,,,,false
Danny Bateman,The Replacements,2000,Football,Jon Favreau,teammate,"Unhinged SWAT cop turned linebacker who brought military intensity to a replacement squad.","I know this much -- winners always want the ball when the game is on the line.",,,,,,,,,false
Sunshine Bass,Remember the Titans,2000,Football,Kip Pardue,teammate,"California quarterback who brought unity to the Titans with talent and open-mindedness.","I just like to play football.",,,,,,,,,false
Ricky Bobby,Talladega Nights,2006,Racing,Will Ferrell,wildcard,"NASCAR legend who lived by one rule: if you ain't first, you're last.","I wanna go fast!",,,,,,,,,false
Ty Webb,Caddyshack,1980,Golf,Chevy Chase,wildcard,"Wealthy, zen-like golfer who plays for the pure joy of it -- and never keeps score.","Be the ball.",,,,,,,,,false
Carl Spackler,Caddyshack,1980,Golf,Bill Murray,wildcard,"Deranged groundskeeper locked in an epic war with a gopher -- and reality.","Cinderella story, out of nowhere...",,,,,,,,,false
Billy Hoyle,White Men Can't Jump,1992,Basketball,Woody Harrelson,wildcard,"Streetball hustler who uses his unassuming appearance to con players out of their money.","You can put a cat in an oven, but that don't make it a biscuit.",,,,,,,,,false
Sidney Deane,White Men Can't Jump,1992,Basketball,Wesley Snipes,wildcard,"Trash-talking streetball legend who teams up with an unlikely partner for one big score.","You got any money?",,,,,,,,,false
Nuke LaLoosh,Bull Durham,1988,Baseball,Tim Robbins,wildcard,"Wild young pitcher with a rocket arm and the brain of a peanut.","I love winning. You know what I'm saying? It's like better than losing.",,,,,,,,,false
Ham Porter,The Sandlot,1993,Baseball,Patrick Renna,wildcard,"Loudmouthed catcher who never met a trash-talk he couldn't deliver.","You're killing me, Smalls!",,,,,,,,,false
Willie Beamen,Any Given Sunday,1999,Football,Jamie Foxx,wildcard,"Third-string QB who got his shot and let the spotlight go straight to his head.","I am the man.",,,,,,,,,false
